candidate_group_id,pattern_label,source_record_id,source,data_origin,evidence_type,original_text,normalized_text,language,search_volume,frequency,competition,notes
"GRP-LING-099","OTHER_OBSERVABLE_VARIANTS","QI-CLN-0001","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","hi test","hi test","ENGLISH",,,,"Logged during Gemini dual-eval turn 1"
"GRP-LING-010","GREETING_CIVILITY_VARIANTS","QI-CLN-0002","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","hi","hi","ENGLISH",,,,"Logged during Gemini dual-eval turn 2"
"GRP-LING-002","SEO_SEARCH_VISIBILITY_VARIANTS","QI-CLN-0003","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","HINGLISH",,,,"Logged during Gemini dual-eval turn 3"
"GRP-LING-010","GREETING_CIVILITY_VARIANTS","QI-CLN-0004","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","hi","hi","ENGLISH",,,,"Logged during Gemini dual-eval turn 4"
"GRP-LING-001","PRICING_FEE_LANGUAGE_VARIANTS","QI-CLN-0005","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","HINGLISH",,,,"Logged during Gemini dual-eval turn 5"
"GRP-LING-002","SEO_SEARCH_VISIBILITY_VARIANTS","QI-CLN-0006","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","HINGLISH",,,,"Logged during Gemini dual-eval turn 6"
"GRP-LING-001","PRICING_FEE_LANGUAGE_VARIANTS","QI-CLN-0007","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","HINGLISH",,,,"Logged during Gemini dual-eval turn 7"
"GRP-LING-010","GREETING_CIVILITY_VARIANTS","QI-CLN-0008","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","hi","hi","ENGLISH",,,,"Logged during Gemini dual-eval turn 8"
"GRP-LING-002","SEO_SEARCH_VISIBILITY_VARIANTS","QI-CLN-0009","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","HINGLISH",,,,"Logged during Gemini dual-eval turn 9"
"GRP-LING-001","PRICING_FEE_LANGUAGE_VARIANTS","QI-CLN-0010","tier0_shadow_log","REAL_VISITOR","REAL_VISITOR_EVIDENCE","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","HINGLISH",,,,"Logged during Gemini dual-eval turn 10"
"GRP-LING-099","OTHER_OBSERVABLE_VARIANTS","QI-CLN-0011","customer_context","REAL_CUSTOMER","REAL_CUSTOMER_EVIDENCE","This is a Phase 2 test row created to verify the automated follow-up email pipeline end-to-end.","this is a phase 2 test row created to verify the automated follow-up email pipeline end-to-end.","ENGLISH",,,,"Extracted from lead diagnostic audit brief"
"GRP-LING-007","HUMAN_CONTACT_DIRECT_VARIANTS","QI-CLN-0012","customer_context","REAL_CUSTOMER","REAL_CUSTOMER_EVIDENCE","Contacted via website chat: Contact me at ajay@digixpro.in again","contacted via website chat: contact me at ajay@digixpro.in again","ENGLISH",,,,"Extracted from lead diagnostic audit brief"
